aw_deep_link,product_name,aw_product_id,merchant_product_id,merchant_image_url,description,merchant_category,search_price,merchant_name,merchant_id,category_id,aw_image_url,store_price,delivery_cost,display_price,ean,isbn,upc,mpn,parent_product_id,product_GTIN
https://www.awin1.com/pclick.php?p=30325085743&a=87679&m=5923,"DMR - V8 Pedals v2 Black",30325085743,DMRAPEDM200BK0000000,https://www.ribblecycles.co.uk/media/catalog/product/v/8/v8-black_1.jpg,"Sharing the concave shape and durability that the iconic DMR V8 pedals became famous for, the new version has a larger platform area and serviceable Dual DU bushing system",,38.00,"Ribble Cycles",5923,0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.ribblecycles.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fv%2F8%2Fv8-black_1.jpg&feedId=5923&k=0988d2370b57c7ff468767592314811703382908,,,GBP38.00,,,,,,5055308114497
https://www.awin1.com/pclick.php?p=30344772895&a=87679&m=5923,"Ribble - Ultra SL - Pro",30344772895,BBULRDSL003,https://www.ribblecycles.co.uk/media/catalog/product/u/l/ultra_sl_di2_12_speed_side_on.png,"Designed to offer you the ultimate performance advantage in every situation, the Pro edition of the Ultra SL is fully capable of propelling you to the top step of the podium, smashing your PBs, or claiming KOMs.",,4599.00,"Ribble Cycles",5923,0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.ribblecycles.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fu%2Fl%2Fultra_sl_di2_12_speed_side_on.png&feedId=5923&k=35d7f4a37dae5f34dc4ee151711fd9fdc88164fb,,,GBP4599.00,,,,,,
https://www.awin1.com/pclick.php?p=30344772899&a=87679&m=5923,"Ribble - Ultra SL R - Enthusiast",30344772899,BBULRSLR002,https://www.ribblecycles.co.uk/media/catalog/product/u/l/ultra_slr_ultegra_di2_side_on.png,"Sometimes being fast simply isnt fast enough. In the pursuit of speed, the Ultra SL R equipped with the wireless precision of Shimanos latest Di2 transmission has no equal and delivers a competitive advantage in every situation.",,5199.00,"Ribble Cycles",5923,0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.ribblecycles.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fu%2Fl%2Fultra_slr_ultegra_di2_side_on.png&feedId=5923&k=d1b63826b14e1eca110d9178663d77a56d0d439d,,,GBP5199.00,,,,,,
https://www.awin1.com/pclick.php?p=30344772901&a=87679&m=5923,"Ribble - Ultra SL R - Hero",30344772901,BBULRSLR004,https://www.ribblecycles.co.uk/media/catalog/product/u/l/ultraslr_hero_duraace__side_on_v2.png,"No stone is left unturned in the pursuit of speed. With watt-saving aerodynamic performance as the priority, the Ultra SL R Hero Edition is a pioneering aero bike that heralds a new era of speed.",,7599.00,"Ribble Cycles",5923,0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.ribblecycles.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fu%2Fl%2Fultraslr_hero_duraace__side_on_v2.png&feedId=5923&k=2860dabe8e50e2bbf2bee35b8358a5912b4c633a,,,GBP7599.00,,,,,,
https://www.awin1.com/pclick.php?p=30344772907&a=87679&m=5923,"Ribble - Ultra SL R - Tri Edition",30344772907,BBULRSLR005,https://www.ribblecycles.co.uk/media/catalog/product/u/l/ultraslr_triedition_side_on.png,"The Ultra SL R is our fastest aero bike to date and heralds a new era of speed. Developed for Olympic distance or technical course triathlons this draft-legal Aero edition features the latest 12-speed wireless shifting precision from Shimano to offer you the ultimate performance advantage as you strive for the top step of the podium",,6799.00,"Ribble Cycles",5923,0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.ribblecycles.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fu%2Fl%2Fultraslr_triedition_side_on.png&feedId=5923&k=ff06e1e9de7a16dde15ff9a24d756d425f1aa7a3,,,GBP6799.00,,,,,,
https://www.awin1.com/pclick.php?p=30614879397&a=87679&m=5923,"Ribble - Endurance SL Disc - Pro",30614879397,BBROADCD030,https://www.ribblecycles.co.uk/media/catalog/product/e/n/endurance-sl-red-di2-12-speed_gallery_sid-eon.png,"The Endurance SL Disc Di2 is a superlight endurance carbon road bike that blends drag-defying tube shapes with the wireless shifting precision of electronic gears, making it ideal for the performance-obsessed road rider.",,3999.00,"Ribble Cycles",5923,0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.ribblecycles.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fe%2Fn%2Fendurance-sl-red-di2-12-speed_gallery_sid-eon.png&feedId=5923&k=0ad4f88d4c8feb0aa8ed7bf1bb513adc19177f51,,,GBP3999.00,,,,,,
https://www.awin1.com/pclick.php?p=30715064319&a=87679&m=5923,"Ribble - Endurance SL Disc - Pro",30715064319,BBROADCD031,https://www.ribblecycles.co.uk/media/catalog/product/e/n/endurance-sl-black-di2-12-speed_side-on.png,"The Endurance SL Disc Di2 is a superlight endurance carbon road bike that blends drag-defying tube shapes with the wireless shifting precision of electronic gears, making it ideal for the performance-obsessed road rider.",,3999.00,"Ribble Cycles",5923,0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.ribblecycles.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fe%2Fn%2Fendurance-sl-black-di2-12-speed_side-on.png&feedId=5923&k=239aa7b393517c098e5e4a29fa72b881922039f3,,,GBP3999.00,,,,,,
https://www.awin1.com/pclick.php?p=30715064321&a=87679&m=5923,"Ribble - Endurance SL Disc - Pro",30715064321,BBROADCD032,https://www.ribblecycles.co.uk/media/catalog/product/e/n/endurance_sl_teal_di_12_speed_side_on.png,"The Endurance SL Disc Di2 is a superlight endurance carbon road bike that blends drag-defying tube shapes with the wireless shifting precision of electronic gears, making it ideal for the performance-obsessed road rider.",,3999.00,"Ribble Cycles",5923,0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.ribblecycles.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fe%2Fn%2Fendurance_sl_teal_di_12_speed_side_on.png&feedId=5923&k=b0f793f4ced3fbb8cf32672f971770df5376a7e5,,,GBP3999.00,,,,,,
https://www.awin1.com/pclick.php?p=30858775507&a=87679&m=5923,"Ribble - Endurance SL R Disc - Enthusiast",30858775507,BBROADCL011,https://www.ribblecycles.co.uk/media/catalog/product/e/n/endurance-slr-di2-12-speed_side-on.png,"The Endurance SL R is our flagship carbon endurance road bike. With the wireless electronic shifting precision of Shimanos Ultegra Di2 2x12 speed drivetrain, this speed machine offers you the ultimate performance advantage in your pursuit of speed.",,4599.00,"Ribble Cycles",5923,0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.ribblecycles.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fe%2Fn%2Fendurance-slr-di2-12-speed_side-on.png&feedId=5923&k=3189530958ca8f0e933046cc7f9f2e4a5f87df5c,,,GBP4599.00,,,,,,
https://www.awin1.com/pclick.php?p=30884723425&a=87679&m=5923,"Ribble - Endurance SL R Disc - Sport",30884723425,BBROADCL010,https://www.ribblecycles.co.uk/media/catalog/product/e/n/endurance_slr_ultegra_side_on_1.png,"The Endurance SL R Sport allows serious road racers and local heroes the opportunity to experience the lightning-fast ride of a world-class superbike. Complete with a high-end finishing kit that perfectly complements the stiff carbon monocoque frameset of our flagship Endurance SL R Series.",,3699.00,"Ribble Cycles",5923,0,https://images2.productserve.com/?w=200&h=200&bg=white&trim=5&t=letterbox&url=ssl%3Awww.ribblecycles.co.uk%2Fmedia%2Fcatalog%2Fproduct%2Fe%2Fn%2Fendurance_slr_ultegra_side_on_1.png&feedId=5923&k=63293c0e6110b57aec541e6586556df950510000,,,GBP3699.00,,,,,,
